zh_title,en_title,zh_def,en_def,category,tags,example,details
唯物主义,Materialism,认为物质是世界的本原,View that matter is the fundamental substance of reality,哲学流派,形而上学;本体论,马克思的历史唯物主义,与唯心主义相对
唯心主义,Idealism,认为意识或精神是世界的根本,Doctrine that reality is fundamentally mental or spiritual,哲学流派,本体论;认知论,柏拉图理念论,分主观与客观两类
存在主义,Existentialism,强调个人自由、选择与存在意义,Philosophy emphasizing individual freedom and meaning,哲学流派,现代哲学;人文主义,萨特“存在先于本质”,关注荒诞与自我责任
经验主义,Empiricism,认为知识源自经验与感官观察,View that knowledge derives from experience,哲学流派,认识论;科学哲学,洛克、休谟,与理性主义相对
理性主义,Rationalism,认为理性是知识的主要来源,View that reason is the chief source of knowledge,哲学流派,认识论;形而上学,笛卡尔、莱布尼茨,强调逻辑与演绎
实用主义,Pragmatism,认为真理取决于实践效果,Philosophy that truth is what works in practice,哲学流派,应用哲学;现代哲学,詹姆斯、杜威,关注知识的实效性
现象学,Phenomenology,研究意识经验的结构,Study of structures of consciousness from first-person view,哲学流派,认识论;存在论,胡塞尔、海德格尔,强调意向性与体验
结构主义,Structuralism,认为结构决定意义与行为,View that meaning arises from underlying structures,哲学流派,语言哲学;文化研究,索绪尔、列维-斯特劳斯,重视语言与系统关系
后结构主义,Post-structuralism,批判结构主义的稳定意义观,Critique of stable meaning in structuralism,哲学流派,语言哲学;文化批评,德里达、福柯,关注权力与话语
分析哲学,Analytic Philosophy,重视语言分析与逻辑清晰性,Philosophy focusing on logical analysis of language,哲学流派,语言哲学;逻辑学,维特根斯坦、罗素,强调论证与精确表达
大陆哲学,Continental Philosophy,欧洲大陆的思想传统,Philosophical traditions from continental Europe,哲学流派,现象学;存在主义,黑格尔、尼采,关注人类处境与意义
虚无主义,Nihilism,否认客观价值或意义的存在,Denial of objective meaning or value,哲学流派,伦理学;存在论,尼采的“上帝已死”,可导致积极的自我创造
荒诞主义,Absurdism,认为人类追求意义与世界无意义的矛盾,View that human search for meaning meets a meaningless world,哲学流派,存在主义;现代思想,加缪《西西弗神话》,主张在荒诞中肯定生活
人本主义,Humanism,以人为中心，强调人的尊严与理性,Philosophy emphasizing human value and reason,哲学流派,伦理学;文艺复兴思想,伊拉斯谟、皮科,反对神权中心主义
道家,Taoism,主张顺应自然、无为而治,Chinese philosophy advocating harmony with nature,东方哲学,中国哲学;伦理学,老子《道德经》,“道法自然”是核心思想
儒家,Confucianism,强调仁义礼智信与社会和谐,Philosophy emphasizing moral virtue and social order,东方哲学,中国哲学;伦理学,孔子《论语》,影响东亚伦理体系
法家,Legalism,主张以法治国、以刑止乱,Philosophy advocating rule by law and strict governance,东方哲学,中国哲学;政治哲学,韩非子,重视权术与秩序
佛教哲学,Buddhist Philosophy,探讨无常、缘起与空性,"Philosophy based on impermanence, causation, and emptiness",东方哲学,宗教哲学;伦理学,龙树《中论》,重视修行与智慧
斯多亚主义,Stoicism,强调理性控制情感、顺应命运,Philosophy of self-control and acceptance of fate,哲学流派,伦理学;古典哲学,爱比克泰德、马可·奥勒留,主张内心自由
