zh_title,en_title,zh_def,en_def,category,tags,example,details,images,frequency
浮游植物（浮游藻类）,phytoplankton,漂浮于水体、能行光合作用的微型自养生物，是水域食物网的基础。,Microscopic photosynthetic organisms drifting in water; base of aquatic food webs.,生物学,生态;藻类,极地海域春季常见硅藻主导的浮游植物高峰。,常用叶绿素a评价其生物量。,,
浮游动物,zooplankton,以浮游植物或碎屑为食的异养浮游生物。,Heterotrophic plankton feeding on phytoplankton or detritus.,生物学,生态,桡足类以浮游植物为食。,与浮游植物共同决定能量传递。,,
硅藻,diatom,具有二氧化硅外壳（硅壳）的藻类，是高纬海域重要初级生产者。,Algae with silica frustules; key producers in polar seas.,生物学,藻类;极地,Nitzschia 与 Fragilariopsis 常见于海冰底部。,诊断色素为岩藻黄素。,,
甲藻,dinoflagellate,具鞭毛的单细胞藻类，部分能引发有害藻华。,Flagellated unicellular algae; some species cause HABs.,生物学,藻类;HAB,赤潮常由甲藻引发。,部分种具甲壳素板甲。,,
蓝藻（蓝细菌）,cyanobacteria,能行光合作用的细菌，可固氮并形成水华。,Photosynthetic bacteria; can fix nitrogen and form blooms.,生物学,藻类;HAB,水库中蓝藻水华出现藻蓝蛋白峰值。,诊断色素为藻蓝蛋白、藻红蛋白。,,
绿藻,green algae,绿藻门生物，广泛分布于海水和淡水。,Chlorophyta widely distributed in marine and fresh waters.,生物学,藻类,雪面绿藻造成“绿雪”现象。,叶绿素b为特征色素。,,
球石藻,coccolithophore,带有碳酸钙板片的浮游植物，能影响海洋碳循环与反照率。,Calcifying phytoplankton bearing CaCO3 plates; impact carbon cycle and albedo.,生物学,藻类;碳循环,Emiliania huxleyi 大量繁殖可改变海色。,可在遥感影像中形成亮带。,,
海冰藻,sea-ice algae,生活在海冰孔隙与冰底的藻类群体。,Algae inhabiting brine channels and under-ice habitats.,生物学,极地;藻类,海冰融化初期释放大量海冰藻入水柱。,低温弱光适应性强。,,
雪藻,snow algae,生存于雪表或冰面，常呈红色或绿色。,Algae living on snow/ice surfaces; often red or green blooms.,生物学,极地;藻类,夏季山区与极地可见“红雪”。,类胡萝卜素积累导致着色。,,
微微型浮游生物,picoplankton,粒径小于2微米的浮游生物。,Plankton smaller than 2 µm.,生物学,尺寸分类,含微型真核藻与微型蓝藻。,难以用常规显微分辨。,,
纳米型浮游生物,nanoplankton,粒径2–20微米的浮游生物。,Plankton sized 2–20 µm.,生物学,尺寸分类,多数小型硅藻与绿藻属于此类。,,,
微型浮游生物,microplankton,粒径大于20微米的浮游生物。,Plankton larger than 20 µm.,生物学,尺寸分类,链状硅藻常归于微型类。,,,
群落结构,community structure,不同类群的组成比例与多样性格局。,Composition and relative abundance patterns of groups in a habitat.,生态学,群落;监测,利用色素指示推断群落结构变化。,,,
功能类群,functional group,按生态或生理特征而非系统发育划分的类群。,Grouping species by ecological/physiological traits.,生态学,群落,以体型与营养策略划分的浮游植物功能群。,,,
属级识别,genus-level identification,将目标识别至属的层级。,Identifying organisms at the genus rank.,分类学,识别;分级,野外监测常先做属级筛查。,,,
种级识别,species-level identification,将目标识别到具体物种。,Identifying at species rank; finest common taxonomic granularity.,分类学,识别;分级,需要更高分辨率与形态细节。,,,
物种丰富度,species richness,样地或样本中物种数量。,Number of species present in a community.,生态学,多样性,Shannon 指数结合丰富度与均匀度。,,,
均匀度,evenness,个体在各物种间分配的均匀程度。,How evenly individuals are distributed among species.,生态学,多样性,均匀度低时少数优势种占据主导。,,,
藻华,bloom,藻类生物量迅速增加的现象。,Rapid increase in algal biomass.,生态学,监测;HAB,春季硅藻暴发。,,,
